id,name,market_cap,volume_24h,last_updated
72,Mina,748564803.7940224,65174719.53982252,2023-12-06 21:01:00
73,Bitget Token,728668062.2337419,19022129.09570248,2023-12-06 21:01:00
74,USDD,723509718.9346578,45429849.98633163,2023-12-06 21:02:00
75,Beam,722520485.7433852,105557971.02794676,2023-12-06 21:01:00
76,XDC Network,718445096.2588495,19816539.1679637,2023-12-06 21:01:00
77,Klaytn,706882371.8080548,30206603.38955535,2023-12-06 21:02:00
78,Conflux,691948485.4162737,114567471.19114786,2023-12-06 21:02:00
79,eCash,679115483.8474404,198102027.7078861,2023-12-06 21:01:00
80,Sui,647319013.6764537,197217042.8801009,2023-12-06 21:01:00
81,Pepe,641715124.4106377,355382426.83894217,2023-12-06 21:01:00
82,Terra,632493859.7250638,228309204.1497618,2023-12-06 21:01:00
83,Chiliz,631376789.7352921,131649413.19333877,2023-12-06 21:01:00
84,PancakeSwap,629125203.120381,131395000.53744489,2023-12-06 21:02:00
85,Frax Share,616592155.7563114,47286590.32714794,2023-12-06 21:01:00
86,Sei,611078073.5807114,284681130.9126198,2023-12-06 21:01:00
87,Helium,608207524.8657237,38667043.46362991,2023-12-06 21:01:00
88,ApeCoin,606276352.4000636,87676126.5061862,2023-12-06 21:01:00
89,Rocket Pool,599178631.2215251,6803673.99785328,2023-12-06 21:01:00
90,Curve DAO Token,571708300.4576842,97710008.19200017,2023-12-06 21:01:00
91,Blur,569416304.1744921,223566734.61203817,2023-12-06 21:01:00
92,Oasis Network,542467567.1526805,38948658.72638187,2023-12-06 21:01:00
93,dYdX (ethDYDX),541503803.7450907,201236228.88251227,2023-12-06 21:01:00
94,Arweave,523295688.12408584,17829447.39213095,2023-12-06 21:01:00
95,Zcash,513284469.77813023,85433158.58465026,2023-12-06 21:02:00
96,Gas,501921214.2480171,45285831.15949672,2023-12-06 21:01:00
97,Casper,501509261.7226576,28672014.64777309,2023-12-06 21:01:00
98,Tether Gold,500490684.9062806,3966526.3232706,2023-12-06 21:02:00
99,Gnosis,499564402.02717423,11974694.74140325,2023-12-06 21:01:00
